Student_ID,Branch,Batch,Placement_Status,Company,Package
STU0118,IT,2026,Placed,Orbitrix Systems,11.78
STU0119,IT,2025,Placed,Meridian Cloud Co,7.34
STU0120,IT,2026,Not Placed,,
STU0121,IT,2025,Not Placed,,
STU0122,IT,2026,Not Placed,,
STU0123,IT,2025,Placed,Copperleaf Industries,3.59
STU0124,IT,2026,Placed,Nexalytics Global,17.03
STU0125,IT,2025,Placed,Anchor Logistics Tech,3.23
STU0126,IT,2026,Placed,Lumen Field Systems,3.98
STU0127,IT,2025,Placed,Pinegrove Electricals,5.88
STU0128,IT,2026,Placed,Solstice Data Works,8.74
STU0129,IT,2025,Not Placed,,
STU0130,IT,2026,Placed,Quantera Labs,17.88
STU0131,IT,2025,Placed,Millbrook Hydraulics,4.52
STU0132,IT,2026,Placed,Cobalt Robotics,8.89
STU0133,IT,2025,Placed,Cobalt Robotics,7.83
STU0134,IT,2026,Not Placed,,
STU0135,IT,2025,Not Placed,,
STU0136,IT,2026,Placed,Crestline Auto Components,5.01
STU0137,IT,2025,Placed,Copperleaf Industries,4.91
STU0138,IT,2026,Placed,Solstice Data Works,6.01
STU0139,IT,2025,Placed,Union Foundry Works,4.3
STU0140,IT,2026,Not Placed,,
STU0141,IT,2025,Placed,Cobalt Robotics,7.02
STU0142,IT,2026,Placed,Crestline Auto Components,3.88
STU0143,IT,2025,Placed,Nexalytics Global,13.73
STU0144,IT,2026,Placed,Cobalt Robotics,7.6
STU0145,IT,2025,Placed,Union Foundry Works,5.21
STU0146,IT,2026,Placed,Pinegrove Electricals,4.93
STU0147,IT,2025,Placed,Verdant Software,7.86
STU0148,IT,2026,Not Placed,,
STU0149,IT,2025,Not Placed,,
STU0150,IT,2026,Placed,Cobalt Robotics,8.12
STU0151,IT,2025,Placed,Solstice Data Works,7.73
STU0152,IT,2026,Placed,BrightWave Technologies,7.54
STU0153,IT,2025,Placed,Pinegrove Electricals,3.28
STU0154,IT,2026,Placed,Millbrook Hydraulics,4.35
STU0155,IT,2025,Not Placed,,
STU0156,IT,2026,Placed,Orbitrix Systems,11.99
STU0157,IT,2025,Placed,Verdant Software,7.15
STU0158,IT,2026,Placed,Ironpeak Analytics,6.11
STU0159,IT,2025,Not Placed,,
STU0160,IT,2026,Placed,Solstice Data Works,6.49
STU0161,ECE,2025,Placed,Pinegrove Electricals,4.45
STU0162,ECE,2026,Not Placed,,
STU0163,ECE,2025,Not Placed,,
STU0164,ECE,2026,Not Placed,,
STU0165,ECE,2025,Not Placed,,
STU0166,ECE,2026,Placed,Ironpeak Analytics,6.08
STU0167,ECE,2025,Not Placed,,
STU0168,ECE,2026,Not Placed,,
STU0169,ECE,2025,Placed,Union Foundry Works,3.19
STU0170,ECE,2026,Not Placed,,
STU0171,ECE,2025,Not Placed,,
STU0172,ECE,2026,Not Placed,,
STU0173,ECE,2025,Placed,BrightWave Technologies,9.72
STU0174,ECE,2026,Placed,Falcon Precision Tools,5.83
STU0175,ECE,2025,Not Placed,,
STU0176,ECE,2026,Not Placed,,
STU0177,ECE,2025,Not Placed,,
STU0178,ECE,2026,Not Placed,,
STU0179,ECE,2025,Not Placed,,
STU0180,ECE,2026,Placed,Meridian Cloud Co,9.78
STU0181,ECE,2025,Placed,Havenbyte Systems,7.48
STU0182,ECE,2026,Placed,Falcon Precision Tools,5.43
STU0183,ECE,2025,Placed,Ironpeak Analytics,7.41
STU0184,ECE,2026,Not Placed,,
STU0185,ECE,2025,Placed,Millbrook Hydraulics,5.63
STU0186,ECE,2026,Placed,Orbitrix Systems,14.75
STU0187,ECE,2025,Not Placed,,
STU0188,ECE,2026,Placed,Millbrook Hydraulics,3.24
STU0189,ECE,2025,Placed,Northstar Manufacturing,3.98
STU0190,ECE,2026,Not Placed,,
STU0191,ECE,2025,Not Placed,,
STU0192,ECE,2026,Not Placed,,
STU0193,ECE,2025,Not Placed,,
STU0194,ECE,2026,Placed,Meridian Cloud Co,6.52
STU0195,ECE,2025,Not Placed,,
STU0196,ECE,2026,Not Placed,,
STU0197,ECE,2025,Not Placed,,
STU0198,ECE,2026,Not Placed,,
STU0199,ECE,2025,Not Placed,,
STU0200,ECE,2026,Not Placed,,
STU0201,ECE,2025,Not Placed,,
STU0202,ECE,2026,Placed,Steadfast Engineering,4.97
STU0203,ECE,2025,Not Placed,,
STU0204,ECE,2026,Not Placed,,
STU0205,ECE,2025,Not Placed,,
STU0206,MECH,2025,Not Placed,,
STU0207,MECH,2026,Placed,Lumen Field Systems,2.89
STU0208,MECH,2025,Not Placed,,
STU0209,MECH,2026,Not Placed,,
STU0210,MECH,2025,Not Placed,,
STU0211,MECH,2026,Placed,BrightWave Technologies,6.01
STU0212,MECH,2025,Placed,Amberline Textiles,4.87
STU0213,MECH,2026,Not Placed,,
STU0214,MECH,2025,Not Placed,,
STU0215,MECH,2026,Not Placed,,
STU0216,MECH,2025,Placed,Anchor Logistics Tech,4.72
STU0217,MECH,2026,Not Placed,,
STU0218,MECH,2025,Not Placed,,
STU0219,MECH,2026,Not Placed,,
STU0220,MECH,2025,Not Placed,,
STU0221,MECH,2026,Not Placed,,
STU0222,MECH,2025,Not Placed,,
STU0223,MECH,2026,Placed,Union Foundry Works,3.49
STU0224,MECH,2025,Not Placed,,
STU0225,MECH,2026,Placed,Amberline Textiles,4.78
STU0226,MECH,2025,Placed,Steadfast Engineering,3.73
STU0227,MECH,2026,Not Placed,,
STU0228,MECH,2025,Placed,Havenbyte Systems,5.67
STU0229,MECH,2026,Not Placed,,
STU0230,MECH,2025,Not Placed,,
STU0231,MECH,2026,Not Placed,,
STU0232,MECH,2025,Not Placed,,
STU0233,MECH,2026,Not Placed,,
STU0234,MECH,2025,Not Placed,,
STU0235,MECH,2026,Placed,Crestline Auto Components,3.42
STU0236,MECH,2025,Placed,Millbrook Hydraulics,3.68
STU0237,MECH,2026,Not Placed,,
STU0238,MECH,2025,Not Placed,,
STU0239,MECH,2026,Placed,Crestline Auto Components,3.66
STU0240,MECH,2025,Not Placed,,
