Student_ID,Skill,Assessment_Score
STU0034,Power BI,58
STU0034,Machine Learning,68
STU0034,Java,59
STU0034,Communication,75
STU0035,Python,30
STU0035,SQL,57
STU0035,Power BI,43
STU0035,Machine Learning,34
STU0035,Java,46
STU0035,Communication,64
STU0036,Python,72
STU0036,SQL,41
STU0036,Power BI,54
STU0036,Machine Learning,44
STU0036,Java,53
STU0036,Communication,79
STU0037,Python,67
STU0037,SQL,75
STU0037,Power BI,52
STU0037,Machine Learning,41
STU0037,Java,55
STU0037,Communication,71
STU0038,Python,61
STU0038,SQL,44
STU0038,Power BI,55
STU0038,Machine Learning,53
STU0038,Java,93
STU0038,Communication,89
STU0039,Python,47
STU0039,SQL,54
STU0039,Power BI,35
STU0039,Machine Learning,42
STU0039,Java,62
STU0039,Communication,81
STU0040,Python,49
STU0040,SQL,49
STU0040,Power BI,26
STU0040,Machine Learning,48
STU0040,Java,43
STU0040,Communication,62
STU0041,Python,47
STU0041,SQL,57
STU0041,Power BI,31
STU0041,Machine Learning,31
STU0041,Java,88
STU0041,Communication,54
STU0042,Python,44
STU0042,SQL,82
STU0042,Power BI,92
STU0042,Machine Learning,35
STU0042,Java,53
STU0042,Communication,72
STU0043,Python,83
STU0043,SQL,45
STU0043,Power BI,51
STU0043,Machine Learning,60
STU0043,Java,64
STU0043,Communication,64
STU0044,Python,57
STU0044,SQL,40
STU0044,Power BI,51
STU0044,Machine Learning,47
STU0044,Java,61
STU0044,Communication,62
STU0045,Python,66
STU0045,SQL,71
STU0045,Power BI,56
STU0045,Machine Learning,55
STU0045,Java,59
STU0045,Communication,68
STU0046,Python,49
STU0046,SQL,62
STU0046,Power BI,53
STU0046,Machine Learning,77
STU0046,Java,80
STU0046,Communication,72
STU0047,Python,48
STU0047,SQL,44
STU0047,Power BI,69
STU0047,Machine Learning,53
STU0047,Java,65
STU0047,Communication,49
STU0048,Python,72
STU0048,SQL,64
STU0048,Power BI,40
STU0048,Machine Learning,44
STU0048,Java,62
STU0048,Communication,69
STU0049,Python,55
STU0049,SQL,57
STU0049,Power BI,51
STU0049,Machine Learning,52
STU0049,Java,79
STU0049,Communication,40
STU0050,Python,56
STU0050,SQL,60
STU0050,Power BI,58
STU0050,Machine Learning,45
STU0050,Java,33
STU0050,Communication,72
STU0051,Python,83
STU0051,SQL,38
STU0051,Power BI,65
STU0051,Machine Learning,46
STU0051,Java,57
STU0051,Communication,56
STU0052,Python,54
STU0052,SQL,75
STU0052,Power BI,62
STU0052,Machine Learning,73
STU0052,Java,74
STU0052,Communication,73
STU0053,Python,83
STU0053,SQL,64
STU0053,Power BI,65
STU0053,Machine Learning,46
STU0053,Java,59
STU0053,Communication,60
STU0054,Python,73
STU0054,SQL,43
STU0054,Power BI,64
STU0054,Machine Learning,48
STU0054,Java,74
STU0054,Communication,76
STU0055,Python,84
STU0055,SQL,68
STU0055,Power BI,34
STU0055,Machine Learning,49
STU0055,Java,42
STU0055,Communication,62
STU0056,Python,80
STU0056,SQL,66
STU0056,Power BI,45
STU0056,Machine Learning,37
STU0056,Java,58
STU0056,Communication,55
STU0057,Python,50
STU0057,SQL,62
STU0057,Power BI,69
STU0057,Machine Learning,58
STU0057,Java,26
STU0057,Communication,71
STU0058,Python,60
STU0058,SQL,63
STU0058,Power BI,75
STU0058,Machine Learning,23
STU0058,Java,50
STU0058,Communication,74
STU0059,Python,37
STU0059,SQL,77
STU0059,Power BI,59
STU0059,Machine Learning,61
STU0059,Java,50
STU0059,Communication,77
STU0060,Python,74
STU0060,SQL,61
STU0060,Power BI,57
STU0060,Machine Learning,54
STU0060,Java,46
STU0060,Communication,66
STU0061,Python,61
STU0061,SQL,67
STU0061,Power BI,71
STU0061,Machine Learning,40
STU0061,Java,60
STU0061,Communication,84
STU0062,Python,53
STU0062,SQL,51
STU0062,Power BI,61
STU0062,Machine Learning,65
STU0062,Java,62
STU0062,Communication,83
STU0063,Python,75
STU0063,SQL,73
STU0063,Power BI,65
STU0063,Machine Learning,84
STU0063,Java,59
STU0063,Communication,46
STU0064,Python,85
STU0064,SQL,56
STU0064,Power BI,59
STU0064,Machine Learning,71
STU0064,Java,40
STU0064,Communication,54
STU0065,Python,41
STU0065,SQL,52
STU0065,Power BI,64
STU0065,Machine Learning,61
STU0065,Java,66
STU0065,Communication,52
STU0066,Python,31
STU0066,SQL,63
STU0066,Power BI,52
STU0066,Machine Learning,60
STU0066,Java,72
STU0066,Communication,70
STU0067,Python,74
STU0067,SQL,65
STU0067,Power BI,65
STU0067,Machine Learning,45
STU0067,Java,59
STU0067,Communication,70
STU0068,Python,74
STU0068,SQL,57
STU0068,Power BI,65
STU0068,Machine Learning,51
STU0068,Java,60
STU0068,Communication,77
STU0069,Python,35
STU0069,SQL,45
STU0069,Power BI,39
STU0069,Machine Learning,24
STU0069,Java,53
STU0069,Communication,76
STU0070,Python,59
STU0070,SQL,65
STU0070,Power BI,72
STU0070,Machine Learning,71
STU0070,Java,61
STU0070,Communication,83
STU0071,Python,64
STU0071,SQL,51
STU0071,Power BI,50
STU0071,Machine Learning,35
STU0071,Java,50
STU0071,Communication,64
STU0072,Python,74
STU0072,SQL,84
STU0072,Power BI,40
STU0072,Machine Learning,59
STU0072,Java,47
STU0072,Communication,73
STU0073,Python,61
STU0073,SQL,38
STU0073,Power BI,70
STU0073,Machine Learning,46
STU0073,Java,55
STU0073,Communication,56
STU0074,Python,54
STU0074,SQL,68
STU0074,Power BI,56
STU0074,Machine Learning,58
STU0074,Java,67
STU0074,Communication,83
STU0075,Python,58
STU0075,SQL,43
STU0075,Power BI,72
STU0075,Machine Learning,50
STU0075,Java,78
STU0075,Communication,72
STU0076,Python,61
STU0076,SQL,67
STU0076,Power BI,83
STU0076,Machine Learning,81
STU0076,Java,63
STU0076,Communication,70
STU0077,Python,78
STU0077,SQL,51
STU0077,Power BI,62
STU0077,Machine Learning,54
STU0077,Java,66
STU0077,Communication,59
STU0078,Python,41
STU0078,SQL,35
STU0078,Power BI,43
STU0078,Machine Learning,48
STU0078,Java,58
STU0078,Communication,89
STU0079,Python,78
STU0079,SQL,49
STU0079,Power BI,63
STU0079,Machine Learning,49
STU0079,Java,58
STU0079,Communication,70
STU0080,Python,72
STU0080,SQL,58
STU0080,Power BI,72
STU0080,Machine Learning,39
STU0080,Java,62
STU0080,Communication,97
STU0081,Python,66
STU0081,SQL,81
STU0081,Power BI,59
STU0081,Machine Learning,62
STU0081,Java,61
STU0081,Communication,66
STU0082,Python,52
STU0082,SQL,68
STU0082,Power BI,47
STU0082,Machine Learning,63
STU0082,Java,77
STU0082,Communication,72
STU0083,Python,59
STU0083,SQL,68
STU0083,Power BI,54
STU0083,Machine Learning,66
STU0083,Java,36
STU0083,Communication,64
STU0084,Python,35
STU0084,SQL,43
STU0084,Power BI,76
STU0084,Machine Learning,66
STU0084,Java,52
STU0084,Communication,51
STU0085,Python,21
STU0085,SQL,55
STU0085,Power BI,89
STU0085,Machine Learning,60
STU0085,Java,54
STU0085,Communication,73
STU0086,Python,41
STU0086,SQL,58
STU0086,Power BI,59
STU0086,Machine Learning,53
STU0086,Java,73
STU0086,Communication,72
STU0087,Python,72
STU0087,SQL,53
STU0087,Power BI,70
STU0087,Machine Learning,75
STU0087,Java,48
STU0087,Communication,58
STU0088,Python,82
STU0088,SQL,60
STU0088,Power BI,76
STU0088,Machine Learning,48
STU0088,Java,82
STU0088,Communication,69
STU0089,Python,67
STU0089,SQL,82
STU0089,Power BI,53
STU0089,Machine Learning,42
STU0089,Java,56
STU0089,Communication,73
STU0090,Python,41
STU0090,SQL,70
STU0090,Power BI,51
STU0090,Machine Learning,69
STU0090,Java,28
STU0090,Communication,59
STU0091,Python,39
STU0091,SQL,51
STU0091,Power BI,61
STU0091,Machine Learning,52
STU0091,Java,58
STU0091,Communication,66
STU0092,Python,66
STU0092,SQL,49
STU0092,Power BI,67
STU0092,Machine Learning,63
STU0092,Java,67
STU0092,Communication,74
STU0093,Python,67
STU0093,SQL,88
STU0093,Power BI,57
STU0093,Machine Learning,50
STU0093,Java,51
STU0093,Communication,57
STU0094,Python,46
STU0094,SQL,50
STU0094,Power BI,57
STU0094,Machine Learning,58
STU0094,Java,63
STU0094,Communication,60
STU0095,Python,76
STU0095,SQL,72
STU0095,Power BI,56
STU0095,Machine Learning,46
STU0095,Java,70
STU0095,Communication,70
STU0096,Python,43
STU0096,SQL,61
STU0096,Power BI,61
STU0096,Machine Learning,42
STU0096,Java,65
STU0096,Communication,52
STU0097,Python,82
STU0097,SQL,78
STU0097,Power BI,55
STU0097,Machine Learning,59
STU0097,Java,28
STU0097,Communication,55
STU0098,Python,59
STU0098,SQL,48
STU0098,Power BI,67
STU0098,Machine Learning,80
STU0098,Java,46
STU0098,Communication,59
STU0099,Python,66
STU0099,SQL,83
STU0099,Power BI,42
STU0099,Machine Learning,57
STU0099,Java,87
STU0099,Communication,50
STU0100,Python,45
STU0100,SQL,56
STU0100,Power BI,51
STU0100,Machine Learning,65
STU0100,Java,65
STU0100,Communication,48
STU0101,Python,70
STU0101,SQL,54
STU0101,Power BI,75
STU0101,Machine Learning,46
STU0101,Java,53
STU0101,Communication,74
STU0102,Python,74
STU0102,SQL,68
STU0102,Power BI,36
STU0102,Machine Learning,61
STU0102,Java,48
STU0102,Communication,71
STU0103,Python,43
STU0103,SQL,68
STU0103,Power BI,48
STU0103,Machine Learning,37
STU0103,Java,72
STU0103,Communication,71
STU0104,Python,54
STU0104,SQL,81
STU0104,Power BI,52
STU0104,Machine Learning,54
STU0104,Java,66
STU0104,Communication,61
STU0105,Python,70
STU0105,SQL,55
STU0105,Power BI,53
STU0105,Machine Learning,72
STU0105,Java,47
STU0105,Communication,41
STU0106,Python,86
STU0106,SQL,95
STU0106,Power BI,53
STU0106,Machine Learning,29
STU0106,Java,58
STU0106,Communication,65
STU0107,Python,60
STU0107,SQL,48
STU0107,Power BI,66
STU0107,Machine Learning,61
STU0107,Java,41
STU0107,Communication,76
STU0108,Python,92
STU0108,SQL,64
STU0108,Power BI,54
STU0108,Machine Learning,52
STU0108,Java,71
STU0108,Communication,49
STU0109,Python,65
STU0109,SQL,57
STU0109,Power BI,82
STU0109,Machine Learning,52
STU0109,Java,85
STU0109,Communication,56
STU0110,Python,71
STU0110,SQL,66
STU0110,Power BI,47
STU0110,Machine Learning,56
STU0110,Java,79
STU0110,Communication,64
STU0111,Python,31
STU0111,SQL,54
STU0111,Power BI,38
STU0111,Machine Learning,42
STU0111,Java,53
STU0111,Communication,49
STU0112,Python,32
STU0112,SQL,60
STU0112,Power BI,43
STU0112,Machine Learning,13
STU0112,Java,65
STU0112,Communication,71
STU0113,Python,45
STU0113,SQL,37
STU0113,Power BI,61
STU0113,Machine Learning,51
STU0113,Java,87
STU0113,Communication,73
STU0114,Python,60
STU0114,SQL,52
STU0114,Power BI,61
STU0114,Machine Learning,54
STU0114,Java,72
STU0114,Communication,62
STU0115,Python,49
STU0115,SQL,48
STU0115,Power BI,60
STU0115,Machine Learning,65
STU0115,Java,48
STU0115,Communication,63
STU0116,Python,59
STU0116,SQL,51
STU0116,Power BI,62
STU0116,Machine Learning,17
STU0116,Java,42
STU0116,Communication,59
STU0117,Python,23
STU0117,SQL,41
STU0117,Power BI,38
STU0117,Machine Learning,43
STU0117,Java,70
STU0117,Communication,65
STU0118,Python,41
STU0118,SQL,53
STU0118,Power BI,64
STU0118,Machine Learning,33
STU0118,Java,41
STU0118,Communication,74
STU0119,Python,52
STU0119,SQL,62
STU0119,Power BI,50
STU0119,Machine Learning,55
STU0119,Java,40
STU0119,Communication,68
STU0120,Python,52
STU0120,SQL,38
STU0120,Power BI,30
STU0120,Machine Learning,55
STU0120,Java,49
STU0120,Communication,57
STU0121,Python,54
STU0121,SQL,69
STU0121,Power BI,20
STU0121,Machine Learning,27
STU0121,Java,41
STU0121,Communication,84
STU0122,Python,59
STU0122,SQL,64
STU0122,Power BI,35
STU0122,Machine Learning,31
STU0122,Java,60
STU0122,Communication,69
STU0123,Python,63
STU0123,SQL,52
STU0123,Power BI,54
STU0123,Machine Learning,48
STU0123,Java,65
STU0123,Communication,77
STU0124,Python,32
STU0124,SQL,25
STU0124,Power BI,63
STU0124,Machine Learning,61
STU0124,Java,40
STU0124,Communication,48
STU0125,Python,56
STU0125,SQL,66
STU0125,Power BI,73
STU0125,Machine Learning,53
STU0125,Java,49
STU0125,Communication,58
STU0126,Python,55
STU0126,SQL,50
STU0126,Power BI,37
STU0126,Machine Learning,73
STU0126,Java,79
STU0126,Communication,80
STU0127,Python,42
STU0127,SQL,65
STU0127,Power BI,58
STU0127,Machine Learning,52
STU0127,Java,71
STU0127,Communication,75
STU0128,Python,65
STU0128,SQL,62
STU0128,Power BI,54
STU0128,Machine Learning,23
STU0128,Java,55
STU0128,Communication,62
STU0129,Python,37
STU0129,SQL,76
STU0129,Power BI,72
STU0129,Machine Learning,64
STU0129,Java,58
STU0129,Communication,83
STU0130,Python,55
STU0130,SQL,57
STU0130,Power BI,36
STU0130,Machine Learning,51
STU0130,Java,55
STU0130,Communication,54
STU0131,Python,54
STU0131,SQL,53
STU0131,Power BI,73
STU0131,Machine Learning,58
STU0131,Java,54
STU0131,Communication,71
STU0132,Python,56
STU0132,SQL,51
STU0132,Power BI,36
STU0132,Machine Learning,44
STU0132,Java,44
STU0132,Communication,54
STU0133,Python,62
STU0133,SQL,59
STU0133,Power BI,27
STU0133,Machine Learning,44
STU0133,Java,68
STU0133,Communication,80
STU0134,Python,69
STU0134,SQL,55
STU0134,Power BI,39
STU0134,Machine Learning,32
STU0134,Java,59
STU0134,Communication,72
STU0135,Python,73
STU0135,SQL,68
STU0135,Power BI,48
STU0135,Machine Learning,30
STU0135,Java,50
STU0135,Communication,70
STU0136,Python,52
STU0136,SQL,46
STU0136,Power BI,53
STU0136,Machine Learning,39
STU0136,Java,45
STU0136,Communication,71
STU0137,Python,49
STU0137,SQL,57
STU0137,Power BI,54
STU0137,Machine Learning,31
STU0137,Java,47
STU0137,Communication,84
STU0138,Python,39
STU0138,SQL,26
STU0138,Power BI,26
STU0138,Machine Learning,46
STU0138,Java,54
STU0138,Communication,67
STU0139,Python,72
STU0139,SQL,19
STU0139,Power BI,55
STU0139,Machine Learning,66
STU0139,Java,38
STU0139,Communication,64
STU0140,Python,44
STU0140,SQL,42
STU0140,Power BI,46
STU0140,Machine Learning,65
STU0140,Java,80
STU0140,Communication,64
STU0141,Python,82
STU0141,SQL,54
STU0141,Power BI,73
STU0141,Machine Learning,45
STU0141,Java,56
STU0141,Communication,72
STU0142,Python,98
STU0142,SQL,65
STU0142,Power BI,41
STU0142,Machine Learning,59
STU0142,Java,49
STU0142,Communication,63
STU0143,Python,68
STU0143,SQL,54
STU0143,Power BI,54
STU0143,Machine Learning,46
STU0143,Java,59
STU0143,Communication,73
STU0144,Python,28
STU0144,SQL,63
STU0144,Power BI,37
STU0144,Machine Learning,27
STU0144,Java,53
STU0144,Communication,69
STU0145,Python,45
STU0145,SQL,65
STU0145,Power BI,33
STU0145,Machine Learning,41
STU0145,Java,46
STU0145,Communication,67
STU0146,Python,59
STU0146,SQL,41
STU0146,Power BI,59
STU0146,Machine Learning,47
STU0146,Java,28
STU0146,Communication,46
STU0147,Python,55
STU0147,SQL,51
STU0147,Power BI,49
STU0147,Machine Learning,46
STU0147,Java,57
STU0147,Communication,78
STU0148,Python,39
STU0148,SQL,39
STU0148,Power BI,36
STU0148,Machine Learning,50
STU0148,Java,71
STU0148,Communication,63
STU0149,Python,20
STU0149,SQL,32
STU0149,Power BI,39
STU0149,Machine Learning,39
STU0149,Java,48
STU0149,Communication,68
STU0150,Python,51
STU0150,SQL,68
STU0150,Power BI,41
STU0150,Machine Learning,35
STU0150,Java,61
STU0150,Communication,51
STU0151,Python,60
STU0151,SQL,55
STU0151,Power BI,48
STU0151,Machine Learning,67
STU0151,Java,45
STU0151,Communication,91
STU0152,Python,52
STU0152,SQL,37
STU0152,Power BI,51
STU0152,Machine Learning,32
STU0152,Java,43
STU0152,Communication,72
STU0153,Python,63
STU0153,SQL,46
STU0153,Power BI,63
STU0153,Machine Learning,61
STU0153,Java,74
STU0153,Communication,74
STU0154,Python,74
STU0154,SQL,30
STU0154,Power BI,46
STU0154,Machine Learning,35
STU0154,Java,56
STU0154,Communication,62
STU0155,Python,53
STU0155,SQL,78
STU0155,Power BI,48
STU0155,Machine Learning,51
STU0155,Java,51
STU0155,Communication,69
STU0156,Python,55
STU0156,SQL,60
STU0156,Power BI,65
STU0156,Machine Learning,67
STU0156,Java,58
STU0156,Communication,74
STU0157,Python,39
STU0157,SQL,53
STU0157,Power BI,62
STU0157,Machine Learning,57
STU0157,Java,57
STU0157,Communication,78
STU0158,Python,62
STU0158,SQL,70
STU0158,Power BI,54
STU0158,Machine Learning,41
STU0158,Java,59
STU0158,Communication,36
STU0159,Python,60
STU0159,SQL,7
STU0159,Power BI,28
STU0159,Machine Learning,52
STU0159,Java,61
STU0159,Communication,55
STU0160,Python,45
STU0160,SQL,72
STU0160,Power BI,44
STU0160,Machine Learning,75
STU0160,Java,54
STU0160,Communication,72
STU0161,Python,61
STU0161,SQL,39
STU0161,Power BI,20
STU0161,Machine Learning,28
STU0161,Java,37
STU0161,Communication,53
STU0162,Python,34
STU0162,SQL,27
STU0162,Power BI,45
STU0162,Machine Learning,29
STU0162,Java,33
STU0162,Communication,67
STU0163,Python,41
STU0163,SQL,45
STU0163,Power BI,20
STU0163,Machine Learning,15
STU0163,Java,52
STU0163,Communication,63
STU0164,Python,18
STU0164,SQL,43
STU0164,Power BI,39
STU0164,Machine Learning,9
STU0164,Java,40
STU0164,Communication,76
STU0165,Python,43
STU0165,SQL,45
STU0165,Power BI,15
STU0165,Machine Learning,33
STU0165,Java,33
STU0165,Communication,63
STU0166,Python,50
STU0166,SQL,56
STU0166,Power BI,56
STU0166,Machine Learning,46
STU0166,Java,35
STU0166,Communication,72
STU0167,Python,49
STU0167,SQL,39
STU0167,Power BI,35
STU0167,Machine Learning,40
STU0167,Java,36
STU0167,Communication,60
STU0168,Python,32
STU0168,SQL,45
STU0168,Power BI,33
STU0168,Machine Learning,33
STU0168,Java,46
STU0168,Communication,64
STU0169,Python,49
STU0169,SQL,42
STU0169,Power BI,17
STU0169,Machine Learning,48
STU0169,Java,30
STU0169,Communication,50
STU0170,Python,23
STU0170,SQL,24
STU0170,Power BI,34
STU0170,Machine Learning,25
STU0170,Java,32
STU0170,Communication,75
STU0171,Python,43
STU0171,SQL,41
STU0171,Power BI,38
STU0171,Machine Learning,37
STU0171,Java,7
STU0171,Communication,64
STU0172,Python,7
STU0172,SQL,37
STU0172,Power BI,33
STU0172,Machine Learning,43
STU0172,Java,54
STU0172,Communication,70
STU0173,Python,31
STU0173,SQL,43
STU0173,Power BI,26
STU0173,Machine Learning,29
STU0173,Java,51
STU0173,Communication,62
STU0174,Python,49
STU0174,SQL,46
STU0174,Power BI,21
STU0174,Machine Learning,42
STU0174,Java,47
STU0174,Communication,69
STU0175,Python,27
STU0175,SQL,26
STU0175,Power BI,26
STU0175,Machine Learning,36
STU0175,Java,24
STU0175,Communication,73
STU0176,Python,21
STU0176,SQL,34
STU0176,Power BI,34
STU0176,Machine Learning,61
STU0176,Java,18
STU0176,Communication,84
STU0177,Python,40
STU0177,SQL,42
STU0177,Power BI,35
STU0177,Machine Learning,35
STU0177,Java,35
STU0177,Communication,84
STU0178,Python,32
STU0178,SQL,52
STU0178,Power BI,25
STU0178,Machine Learning,28
STU0178,Java,22
STU0178,Communication,73
STU0179,Python,58
STU0179,SQL,36
STU0179,Power BI,30
STU0179,Machine Learning,15
STU0179,Java,34
STU0179,Communication,50
STU0180,Python,25
STU0180,SQL,40
STU0180,Power BI,50
STU0180,Machine Learning,66
STU0180,Java,29
STU0180,Communication,84
STU0181,Python,41
STU0181,SQL,35
STU0181,Power BI,39
STU0181,Machine Learning,30
STU0181,Java,39
STU0181,Communication,64
STU0182,Python,18
STU0182,SQL,17
STU0182,Power BI,41
STU0182,Machine Learning,25
STU0182,Java,29
STU0182,Communication,68
STU0183,Python,49
STU0183,SQL,39
STU0183,Power BI,24
STU0183,Machine Learning,45
STU0183,Java,59
STU0183,Communication,73
STU0184,Python,52
STU0184,SQL,53
STU0184,Power BI,48
STU0184,Machine Learning,37
STU0184,Java,45
STU0184,Communication,74
STU0185,Python,23
STU0185,SQL,46
STU0185,Power BI,15
STU0185,Machine Learning,19
STU0185,Java,55
STU0185,Communication,77
STU0186,Python,59
STU0186,SQL,33
STU0186,Power BI,18
STU0186,Machine Learning,26
STU0186,Java,38
STU0186,Communication,69
STU0187,Python,54
STU0187,SQL,32
STU0187,Power BI,38
STU0187,Machine Learning,16
STU0187,Java,43
STU0187,Communication,68
STU0188,Python,28
STU0188,SQL,34
STU0188,Power BI,31
STU0188,Machine Learning,25
STU0188,Java,62
STU0188,Communication,67
STU0189,Python,35
STU0189,SQL,10
STU0189,Power BI,21
STU0189,Machine Learning,26
STU0189,Java,27
STU0189,Communication,83
STU0190,Python,36
STU0190,SQL,54
STU0190,Power BI,34
STU0190,Machine Learning,29
STU0190,Java,36
STU0190,Communication,68
STU0191,Python,62
STU0191,SQL,7
STU0191,Power BI,7
STU0191,Machine Learning,22
STU0191,Java,37
STU0191,Communication,76
STU0192,Python,45
STU0192,SQL,32
STU0192,Power BI,46
STU0192,Machine Learning,42
STU0192,Java,40
STU0192,Communication,79
STU0193,Python,42
STU0193,SQL,30
STU0193,Power BI,42
STU0193,Machine Learning,30
STU0193,Java,37
STU0193,Communication,84
STU0194,Python,4
STU0194,SQL,19
STU0194,Power BI,18
STU0194,Machine Learning,24
STU0194,Java,33
STU0194,Communication,51
STU0195,Python,24
STU0195,SQL,26
STU0195,Power BI,65
STU0195,Machine Learning,52
STU0195,Java,31
STU0195,Communication,64
STU0196,Python,22
STU0196,SQL,12
STU0196,Power BI,31
STU0196,Machine Learning,16
STU0196,Java,36
STU0196,Communication,50
STU0197,Python,27
STU0197,SQL,39
STU0197,Power BI,38
STU0197,Machine Learning,34
STU0197,Java,19
STU0197,Communication,77
STU0198,Python,27
STU0198,SQL,45
STU0198,Power BI,33
STU0198,Machine Learning,11
STU0198,Java,33
STU0198,Communication,72
STU0199,Python,47
STU0199,SQL,35
STU0199,Power BI,53
STU0199,Machine Learning,42
STU0199,Java,33
STU0199,Communication,76
STU0200,Python,65
STU0200,SQL,62
STU0200,Power BI,17
STU0200,Machine Learning,17
STU0200,Java,58
STU0200,Communication,56
STU0201,Python,19
STU0201,SQL,31
STU0201,Power BI,38
STU0201,Machine Learning,28
STU0201,Java,28
STU0201,Communication,61
STU0202,Python,28
STU0202,SQL,26
STU0202,Power BI,63
STU0202,Machine Learning,33
STU0202,Java,49
STU0202,Communication,63
STU0203,Python,35
STU0203,SQL,28
STU0203,Power BI,2
STU0203,Machine Learning,11
STU0203,Java,12
STU0203,Communication,43
STU0204,Python,21
STU0204,SQL,54
STU0204,Power BI,32
STU0204,Machine Learning,46
STU0204,Java,43
STU0204,Communication,77
STU0205,Python,25
STU0205,SQL,44
STU0205,Power BI,42
STU0205,Machine Learning,22
STU0205,Java,45
STU0205,Communication,74
STU0206,Python,26
STU0206,SQL,18
